,Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d
0,1.0,BTCBitcoin,BTC,"$1.33T$1,329,737,390,463","$67,476.14","19,706,778 BTC","$11,643,515,553",<0.01%,-0.18%,-2.47%
1,2.0,ETHEthereum,ETH,"$453.67B$453,673,807,104","$3,776.09","120,143,951 ETH *","$9,765,571,366",-0.03%,-0.16%,-0.81%
2,3.0,USDTTether USDt,USDT,"$112.14B$112,136,632,288",$0.9993,"112,210,010,735 USDT *","$38,315,407,578",<0.01%,<0.01%,-0.04%
3,4.0,BNBBNB,BNB,"$88.15B$88,150,560,067",$597.29,"147,585,226 BNB *","$1,683,286,456",0.06%,0.32%,-0.78%
4,5.0,SOLSolana,SOL,"$75.56B$75,564,075,684",$164.38,"459,691,557 SOL *","$1,137,519,705",-0.05%,-1.39%,0.23%
5,6.0,USDCUSDC,USDC,"$32.37B$32,372,142,849",$1.00,"32,370,170,589 USDC *","$2,518,415,704",<0.01%,-0.01%,0.00%
6,7.0,XRPXRP,XRP,"$28.51B$28,509,961,898",$0.5142,"55,450,358,947 XRP *","$611,893,907",-0.03%,-1.19%,-4.12%
7,8.0,DOGEDogecoin,DOGE,"$22.79B$22,789,425,968",$0.1577,"144,542,376,384 DOGE","$537,565,906",0.00%,-1.02%,-7.25%
8,9.0,ADACardano,ADA,"$16.03B$16,033,056,005",$0.4491,"35,703,521,607 ADA *","$192,020,166",0.09%,0.32%,-2.59%
9,10.0,TONToncoin,TON,"$15.45B$15,451,264,184",$6.41,"2,412,349,024 TON *","$186,641,536",0.15%,1.19%,1.55%
10,11.0,SHIBShiba Inu,SHIB,"$14.58B$14,582,366,357",$0.00002475,"589,271,824,779,734 SHIB *","$346,426,229",-0.02%,-1.92%,0.56%
11,12.0,AVAXAvalanche,AVAX,"$13.94B$13,938,662,980",$35.46,"393,116,159 AVAX *","$180,780,407",-0.23%,-1.50%,-4.86%
12,13.0,LINKChainlink,LINK,"$10.71B$10,709,223,315",$18.24,"587,099,970 LINK *","$245,899,795",-0.02%,-1.44%,5.46%
13,14.0,DOTPolkadot,DOT,"$10.1B$10,103,854,392",$7.03,"1,437,953,431 DOT *","$117,875,075",0.46%,-0.26%,-5.62%
14,15.0,TRXTRON,TRX,"$9.95B$9,946,227,773",$0.1138,"87,367,670,863 TRX *","$197,571,223",0.18%,1.75%,-0.07%
15,16.0,BCHBitcoin Cash,BCH,"$9.05B$9,052,713,357",$459.20,"19,713,938 BCH","$190,865,121",-0.14%,0.12%,-5.89%
16,17.0,NEARNEAR Protocol,NEAR,"$8.04B$8,039,098,612",$7.43,"1,081,469,456 NEAR *","$193,437,575",0.12%,3.24%,-7.69%
17,18.0,MATICPolygon,MATIC,"$6.87B$6,870,448,601",$0.6935,"9,907,380,147 MATIC *","$201,637,003",-0.03%,-0.55%,-4.06%
18,19.0,LTCLitecoin,LTC,"$6.15B$6,147,282,417",$82.41,"74,597,350 LTC","$216,530,464",0.11%,-1.08%,-2.82%
19,20.0,PEPEPepe,PEPE,"$6.13B$6,134,369,710",$0.00001458,"420,689,899,999,995 PEPE *","$1,204,789,958",0.21%,-4.84%,-4.23%
20,,Uniswap,,,,,,,,
21,,Internet Computer,,,,,,,,
22,,UNUS SED LEO,,,,,,,,
23,,Dai,,,,,,,,
24,,Ethereum Classic,,,,,,,,
25,,Aptos,,,,,,,,
26,,Render,,,,,,,,
27,,Hedera,,,,,,,,
28,,Kaspa,,,,,,,,
29,,Cosmos,,,,,,,,
30,,Immutable,,,,,,,,
31,,dogwifhat,,,,,,,,
32,,Arbitrum,,,,,,,,
33,,Mantle,,,,,,,,
34,,Filecoin,,,,,,,,
35,,Stellar,,,,,,,,
